File;Matcher;Precision;Recall;F1;NUI;PME;HSR;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_av_,csv;DistributionBasedResult;0,166666667;0,333333333;0,222222222;139,1538462;0,662637363;0,337362637;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_av_,csv;DistributionBasedAdjusted;0,166666667;0,5;0,25;139,0769231;0,662271062;0,337728938;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_av_,csv;JaccardLevenMatcherResult;0,166666667;0,1;0,125;139,6923077;0,665201465;0,334798535;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_av_,csv;JaccardLevenMatcherAdjusted;0;0;0;156,0714286;0,743197279;0,256802721;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_av_,csv;SimilarityFloodingResult;1;0,033898305;0,06557377;62,375;0,29702381;0,70297619;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_av_,csv;SimilarityFloodingAdjusted;0;0;0;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_av_,csv;SmatResult;1;1;1;41;0,195238095;0,804761905;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_ev_,csv;ComaInstResult;0,666666667;0,666666667;0,666666667;94,2;0,448571429;0,551428571;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_ev_,csv;ComaInstAdjusted;0;0;0;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_ev_,csv;ComaOptResult;0,333333333;0,666666667;0,444444444;123,0833333;0,586111111;0,413888889;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_ev_,csv;ComaOptAdjusted;0;0;0;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_ev_,csv;CupidResult;0,166666667;1;0,285714286;139;0,661904762;0,338095238;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_ev_,csv;CupidAdjusted;1;0,028571429;0,055555556;66,5;0,316666667;0,683333333;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_ev_,csv;DistributionBasedResult;0,5;0,3;0,375;108,6363636;0,517316017;0,482683983;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_ev_,csv;DistributionBasedAdjusted;0,5;0,3;0,375;108,6363636;0,517316017;0,482683983;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_ev_,csv;JaccardLevenMatcherResult;0,333333333;0,133333333;0,19047619;124,0833333;0,590873016;0,409126984;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_ev_,csv;JaccardLevenMatcherAdjusted;0;0;0;156,1428571;0,743537415;0,256462585;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_ev_,csv;SimilarityFloodingResult;1;0,034285714;0,066298343;62,125;0,295833333;0,704166667;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_ev_,csv;SimilarityFloodingAdjusted;0;0;0;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_ev_,csv;SmatResult;1;1;1;41;0,195238095;0,804761905;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac4_av_,csv;ComaInstResult;0;0;0;156,0714286;0,743197279;0,256802721;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac4_av_,csv;ComaInstAdjusted;0;0;0;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac4_av_,csv;ComaOptResult;0;0;0;156,0714286;0,743197279;0,256802721;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac4_av_,csv;ComaOptAdjusted;0;0;0;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac4_av_,csv;CupidResult;0;0;0;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac4_av_,csv;CupidAdjusted;1;0,028571429;0,055555556;66,5;0,316666667;0,683333333;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac4_av_,csv;DistributionBasedResult;0,166666667;0,5;0,25;139,0769231;0,662271062;0,337728938;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac4_av_,csv;DistributionBasedAdjusted;0;0;0;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac4_av_,csv;JaccardLevenMatcherResult;0,333333333;0,166666667;0,222222222;123,8333333;0,58968254;0,41031746;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac4_av_,csv;JaccardLevenMatcherAdjusted;0;0;0;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac4_av_,csv;SimilarityFloodingResult;1;0,033519553;0,064864865;62,625;0,298214286;0,701785714;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac4_av_,csv;SimilarityFloodingAdjusted;0;0;0;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac4_av_,csv;SmatResult;1;1;1;41;0,195238095;0,804761905;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac5_av_,csv;ComaInstResult;0,166666667;0,5;0,25;139,0769231;0,662271062;0,337728938;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac5_av_,csv;ComaInstAdjusted;0;0;0;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac5_av_,csv;ComaOptResult;0,166666667;0,5;0,25;139,0769231;0,662271062;0,337728938;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac5_av_,csv;ComaOptAdjusted;0;0;0;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac5_av_,csv;CupidResult;0,333333333;0,5;0,4;123,1666667;0,586507937;0,413492063;;;;;;;;;;;;;;;;;;
